Id_studenta	Imie	Nazwisko	Uczelnia	id_uczelni	Miasto	Kod_pocztowy	Rok_studiow	Dochod_na_osobe
47	Dominik	Zagajewski	Politechnika Informatyczno-Elektroniczna	5	Sosnowiec	14-721	V	448
48	Marianna	Lyszkowska	Politechnika Królewska	3	Terespol	22-593	I	2334
49	Anna	Tabor	Politechnika Informatyczno-Elektroniczna	2	Czêstochowa	86-116	I	1777
50	Marek	Frymarkiewicz	Politechnika Informatyczno-Elektroniczna	3	Wêgorzewo	67-547	I	1712
51	Gerard	Graczynski	Uniwersytet Pedagogiczny	2	RogoŸnik	74-768	I	1573
52	Stefan	Skoczkowski	Uniwersytet Królewski	2	Sosnowiec	14-721	II	2279
53	Gabriela	Kawka	Uniwersytet Sportu i Turystyki	7	Bezledy	75-057	II	2273
54	Klementyna	Bobkowicz	Uniwersytet Królewski	5	Zawiercie	58-922	III	3056
55	Artur	Bartoszewicz	Uniwersytet Sportu i Turystyki	9	S³awków	42-081	I	2177
56	Michal	Grzesiak	Politechnika Informatyczno-Elektroniczna	5	Wroc³aw	62-182	V	2239
57	Ewelina	Korpet	Uniwersytet Królewski	9	Ustroñ	51-637	V	2204
58	Radomila	Bojka	Uniwersytet Sportu i Turystyki	2	Lêdziny	27-535	III	1403
59	Maciej	Drozdzik	Politechnika Informatyczno-Elektroniczna	5	Szczyrk	75-361	V	1142
60	Jerzy	Przybylski	Uniwersytet Sportu i Turystyki	9	Œwiêtoch³owice	38-932	I	979
61	Hanna	Baron	Politechnika Królewska	2	Jas³o	92-050	I	2509
62	Teresa	Bajerska	Uniwersytet Sportu i Turystyki	9	Tworóg	62-560	II	3010
63	Danuta	Bednar	Politechnika Królewska	3	¯ywiec	00-137	I	1933
64	Boguslawa	Keta	Politechnika Królewska	9	Bêdzin	69-501	II	3013
65	Beata	Grabowska	Politechnika Informatyczno-Elektroniczna	3	Ogrodzieniec	82-082	V	2838
66	Stefania	Zakrzewska	Politechnika Informatyczno-Elektroniczna	3	Sucha Beskidzka	98-902	II	420
67	Anna	Barcikowska	Politechnika Informatyczno-Elektroniczna	2	Lubaczów	60-915	I	3099
68	Tadeusz	Holski	Politechnika Królewska	2	Soœnicowice	15-658	II	1945
69	Aleksandra	Drabicka	Uniwersytet Królewski	2	Cieszyn	68-101	I	2163
70	Igor	Krynicki	Politechnika Informatyczno-Elektroniczna	3	Rajcza	18-286	I	1248
71	Boleslaw	Ludziejewski	Politechnika Informatyczno-Elektroniczna	5	Nowy Targ	84-043	I	2979
72	Danuta	Wojciechowska	Uniwersytet Królewski	2	Bêdzin	69-501	V	1298
73	Katarzyna	Kausek	Uniwersytet Pedagogiczny	2	Strzelce Opolskie	60-596	I	847
74	Maria	Swoboda	Politechnika Królewska	5	Leszno	90-272	I	1032
75	Witold	Basik	Politechnika Informatyczno-Elektroniczna	7	Dêbica	53-306	II	2428
76	Brygida	Mika	Politechnika Królewska	3	Tarnobrzeg	85-266	IV	562
77	Mariola	Barszczon	Uniwersytet Pedagogiczny	2	Oœwiêcim	27-702	I	2664
78	Karina	Wozniak	Politechnika Informatyczno-Elektroniczna	3	Bielsk Podlaski	96-087	V	2485
79	Michal	Kostrzewa	Politechnika Informatyczno-Elektroniczna	7	Katowice	72-241	III	2267
80	Artur	Duszczyk	Politechnika Informatyczno-Elektroniczna	2	Zawiercie	58-922	I	715
81	Nikodem	Nowicki	Uniwersytet Sportu i Turystyki	2	Jejkowice	67-738	V	1703
82	Jadwiga	Borek	Uniwersytet Królewski	2	Na³êczów	83-630	V	1634
83	Jaroslaw	Firek	Uniwersytet Rolniczy	9	Jas³o	92-050	IV	2697
84	Grzegorz	Podsiadly	Uniwersytet Sportu i Turystyki	5	Œwiêtoch³owice	38-932	I	1454
85	Wawrzyniec	Kalinowski	Uniwersytet Królewski	8	Ogrodzieniec	82-082	V	875
86	Boleslaw	Drozdz	Uniwersytet Królewski	9	Poraj	80-436	I	1233
87	Korneliusz	Gajos	Politechnika Królewska	5	Otmuchów	69-204	II	1517
88	Agnieszka	Muszynska	Uniwersytet Królewski	5	D¹browa Górnicza	75-727	I	795
89	Alicja	Bankowska	Uniwersytet Królewski	3	Œwiêtoch³owice	38-932	I	2913
90	Barbara	Boronowska	Akademia Sztuk Piêknych	5	Kielce	04-274	I	874
91	Ireneusz	Pazdziernik	Politechnika Królewska	5	Koszalin	36-759	II	2759
92	Maciej	Golec	Politechnika Informatyczno-Elektroniczna	1	Halinów	33-056	II	1906
93	Maciej	Slomczynski	Uniwersytet Królewski	3	Nowy Targ	84-043	I	710
94	Tymon	Czarna	Politechnika Królewska	2	Monki	32-544	IV	1051
95	Janina	Lina	Politechnika Informatyczno-Elektroniczna	5	Racibórz	00-355	I	2968
96	Kaja	Kalwas	Uniwersytet Królewski	3	Nowy S¹cz	62-813	II	1600
97	Anna	Pulka	Uniwersytet Królewski	2	Jaworzno	98-650	I	1600
98	Waclawa	Kasperek	Politechnika Informatyczno-Elektroniczna	5	Grudzi¹dz	43-210	II	2710
99	Cezary	Karpowicz	Politechnika Informatyczno-Elektroniczna	5	Ogrodzieniec	82-082	I	2993
100	Malgorzata	Balcerzak	Politechnika Informatyczno-Elektroniczna	2	Jaworzynka	56-921	I	748
101	Kacper	Wosik	Politechnika Informatyczno-Elektroniczna	2	Krapkowice	94-560	I	2343
102	Stefan	Biegajski	Politechnika Informatyczno-Elektroniczna	2	Bielsk Podlaski	96-087	II	1837
103	Tomasz	Jasak	Uniwersytet Królewski	2	Przemyœl	38-959	III	923
104	Witold	Barylkiewicz	Uniwersytet Ekonomiczny	2	Racibórz	00-355	II	632
105	Michal	Bilski	Politechnika Informatyczno-Elektroniczna	5	Kêdzierzyn-KoŸle	81-133	II	2807
106	Kazimierz	Sycowski	Uniwersytet Rolniczy	4	Nowy Targ	84-043	I	2331
107	Marcin	Bacz	Uniwersytet Pedagogiczny	2	Gorzów Wielkopolski	78-003	I	2973
108	Jolanta	Czubacka	Politechnika Informatyczno-Elektroniczna	8	Oœwiêcim	27-702	I	2385
109	Andrzej	Jurkowski	Politechnika Informatyczno-Elektroniczna	7	Szczyrk	75-361	IV	1487
110	Ireneusz	Alotek	Politechnika Informatyczno-Elektroniczna	2	Mys³owice	13-220	I	3140
111	Janusz	Judycki	Uniwersytet Ekonomiczny	2	Kruszwica	33-294	I	1361
112	Grazyna	Pawlowska	Politechnika Królewska	2	Halinów	33-056	V	2799
113	Adam	Sliz	Politechnika Królewska	4	Piwniczna-Zdrój	09-592	I	1077
114	Damian	Bawicz	Politechnika Królewska	3	Kety	36-844	I	1161
115	Bronislawa	Wegrzyn	Politechnika Królewska	3	Radom	43-586	IV	2404
116	Jaromir	Gonczyk	Politechnika Informatyczno-Elektroniczna	3	Radom	43-586	III	2523
117	Amadeusz	Toborek	Politechnika Królewska	3	Jêdrzejów	62-049	II	2469
118	Jakub	Socha	Uniwersytet Rolniczy	2	Kielce	04-274	I	2025
119	Katarzyna	Dwornik	Politechnika Informatyczno-Elektroniczna	3	Siewierz	65-885	I	2745
120	Celina	Wisniewska	Politechnika Informatyczno-Elektroniczna	8	Tarnów	87-348	I	822
121	Konstancja	Raszyn	Politechnika Informatyczno-Elektroniczna	2	Gorki Male	36-984	II	2946
122	Edyta	Tomczyk	Uniwersytet Królewski	2	Dêblin	53-807	II	2384
123	Jerzy	Semeniuk	Politechnika Królewska	2	Zabrze	91-525	I	1482
124	Helena	Maczynska	Uniwersytet Królewski	5	Monki	32-544	I	2171
125	Jaroslaw	Bajda	Politechnika Informatyczno-Elektroniczna	3	K³omnice	43-045	I	1182
126	Klemens	Rokosz	Politechnika Królewska	5	Chy¿ne	76-235	I	667
127	Jakub	Wtorek	Politechnika Królewska	2	Chorzów	97-545	V	3263
128	Adrianna	Brzezinska	Politechnika Królewska	3	Sosnowiec	14-721	III	2913
129	Karol	Binski	Politechnika Królewska	3	Wadowice	47-222	I	2497
130	Iwona	Nyska	Uniwersytet Królewski	3	Katowice	72-241	I	2169
131	Cecylia	Czylok	Uniwersytet Królewski	3	Kêdzierzyn-KoŸle	81-133	I	828
132	Mateusz	Antoniak	Politechnika Królewska	5	Bytom	80-339	I	2699
133	Adam	Kaleta	Uniwersytet Królewski	5	Mys³owice	13-220	I	1446
134	Michal	Salacinski	Politechnika Informatyczno-Elektroniczna	3	Lublin	79-726	II	1608
135	Krzysztof	Krzesinski	Uniwersytet Rolniczy	5	Kety	36-844	I	2586
136	Zofia	Gorajska	Politechnika Królewska	2	Olkusz	19-255	II	2428
137	Janusz	Aleksandrowicz	Politechnika Informatyczno-Elektroniczna	8	Gdynia	13-179	I	2701
138	Danuta	Zasada	Politechnika Informatyczno-Elektroniczna	3	Nowy S¹cz	62-813	I	525
139	Aleksander	Rutkowski	Politechnika Informatyczno-Elektroniczna	2	Zakopane	00-995	IV	560
140	Karina	Mikolajczak	Politechnika Informatyczno-Elektroniczna	2	Kruszwica	33-294	I	642
141	Aleksy	Pobereznik	Politechnika Informatyczno-Elektroniczna	2	Jaworzno	98-650	III	3152
142	Beata	Domnicz	Politechnika Królewska	2	Dzier¿oniów	87-324	V	3177
143	Juliusz	Blazowski	Politechnika Informatyczno-Elektroniczna	2	Brañsk	29-325	IV	3144
144	Kacper	Stachowicz	Uniwersytet Królewski	3	Sucha Beskidzka	98-902	II	775
145	Paulina	Lewinska	Uniwersytet Królewski	2	Przemyœl	38-959	I	714
146	Krzysztof	Wroblewski	Politechnika Informatyczno-Elektroniczna	5	Piotrków Trybunalski	04-419	I	919
147	Jan	Bieniek	Uniwersytet Królewski	5	RogoŸnik	74-768	I	805
148	Magdalena	Wawrzyn	Politechnika Informatyczno-Elektroniczna	2	Lêdziny	27-535	I	1189
149	Marek	Bakucha	Akademia Sztuk Piêknych	5	Szczyrk	75-361	I	3313
150	Teofil	Chudy	Politechnika Informatyczno-Elektroniczna	2	Miko³ów	96-497	II	2530
151	Krzysztof	Rosiewicz	Politechnika Królewska	1	Ogrodzieniec	82-082	I	680
152	Mikolaj	Jozwiak	Politechnika Królewska	2	Giera³towice	04-834	I	1880
153	Olga	Berus	Politechnika Informatyczno-Elektroniczna	3	Jaworzynka	56-921	I	2791
154	Halina	Haczyk	Uniwersytet Królewski	3	Pszczyna	53-858	V	3243
155	Sebastian	Lewandowski	Uniwersytet Ekonomiczny	2	Sosnowiec	14-721	II	1434
156	Barbara	Kotwicka	Uniwersytet Królewski	5	£êczyca	16-385	V	2308
157	Jerzy	Bolkowicz	Politechnika Królewska	4	Rybnik	24-983	I	2451
158	Michal	Wojciechowski	Politechnika Informatyczno-Elektroniczna	5	Œwiecko	47-842	V	2423
159	Inga	Barskacz	Politechnika Informatyczno-Elektroniczna	3	S³awków	42-081	I	2848
160	Jerzy	Lubec	Politechnika Informatyczno-Elektroniczna	2	S³awków	42-081	I	1599
161	Malgorzata	Szulim	Politechnika Informatyczno-Elektroniczna	2	Dêbowiec	36-478	I	1899
162	Marcin	Hebda	Politechnika Informatyczno-Elektroniczna	2	Rabka	30-698	I	2725
163	Andrzej	Wieczorek	Politechnika Królewska	2	Sanok	71-890	III	2555
164	Jan	Babul	Uniwersytet Królewski	2	¯ywiec	00-137	I	2720
165	Kinga	Myszograj	Politechnika Królewska	3	Pszczyna	53-858	IV	2155
166	Grazyna	Chrust	Politechnika Informatyczno-Elektroniczna	5	Czêstochowa	86-116	I	792
167	Dorota	Pietrowicz	Politechnika Informatyczno-Elektroniczna	3	Wadowice	47-222	I	1071
168	Hanna	Wrona	Politechnika Informatyczno-Elektroniczna	2	Szczekociny	66-008	V	1493
169	Janusz	Wysocki	Uniwersytet Rolniczy	2	Chorzów	97-545	I	1191
170	Adam	Baryla	Politechnika Królewska	2	Ciechocinek	98-839	I	1347
171	Szymon	Duda	Uniwersytet Królewski	8	Zabrodzie	71-608	I	1160
172	Anna	Bialowas	Uniwersytet Pedagogiczny	3	Szczekociny	66-008	I	1544
173	Grzegorz	Szlachcic	Politechnika Królewska	5	Olkusz	19-255	II	2675
174	Kuba	Hauser	Politechnika Informatyczno-Elektroniczna	7	Mys³owice	13-220	IV	2481
175	Dariusz	Adamus	Politechnika Informatyczno-Elektroniczna	3	Debrzno	03-065	I	813
176	Franciszek	Bielanski	Politechnika Królewska	2	Ogrodzieniec	82-082	IV	3125
177	Adam	Konopka	Uniwersytet Królewski	2	Rybnik	24-983	V	1489
178	Monika	Lawrynowicz	Uniwersytet Królewski	3	Nowy Targ	84-043	I	2835
179	Kacper	Fastnacht	Politechnika Informatyczno-Elektroniczna	5	Œwiêtoch³owice	38-932	I	998
180	Roman	Persinski	Politechnika Informatyczno-Elektroniczna	5	Gliwice	11-608	II	1431
181	Piotr	Kuter	Uniwersytet Królewski	2	Sosnowiec	14-721	I	738
182	Wojciech	Kujdowicz	Uniwersytet Królewski	2	Legnica	58-930	V	2637
183	Angelika	Merak	Politechnika Królewska	5	¯ywiec	00-137	II	415
184	Anna	Owsianka	Politechnika Informatyczno-Elektroniczna	5	Lwówek Sl¹ski	11-782	III	429
185	Walery	Szurkowski	Uniwersytet Pedagogiczny	3	Brzeg Dolny	14-287	IV	352
186	Karol	Kopycki	Uniwersytet Królewski	2	Chorzów	97-545	I	794
187	Franciszek	Szombierski	Akademia Sztuk Piêknych	7	Wolbrom	46-174	III	698
188	Ewelia	Michaliska	Politechnika Informatyczno-Elektroniczna	5	Zakopane	00-995	I	2309
189	Kacper	Slawinski	Uniwersytet Rolniczy	1	Kêdzierzyn-KoŸle	81-133	III	1901
190	Ewelina	Hassan	Uniwersytet Królewski	2	Kleszczów	18-459	V	2767
191	Arkadiusz	Godowski	Uniwersytet Królewski	8	Bia³ystok	54-632	II	1845
192	Tymon	Czarnecki	Politechnika Królewska	5	Miêdzyrzecze	28-079	II	2025
193	Alina	Batorek	Uniwersytet Rolniczy	5	Pszczyna	53-858	I	1309
194	Michal	Prazuch	Politechnika Informatyczno-Elektroniczna	3	Kielce	04-274	V	2534
195	Czeslaw	Kos	Uniwersytet Sportu i Turystyki	8	Ogrodzieniec	82-082	I	1980
196	Jan	Sikorski	Politechnika Informatyczno-Elektroniczna	2	Soœnicowice	15-658	I	2217
197	Teresa	Polaska	Politechnika Informatyczno-Elektroniczna	9	Warszawa	83-294	II	2771
198	Damian	Kulesza	Uniwersytet Królewski	2	Rabka	30-698	I	2883
199	Robert	Chochol	Uniwersytet Królewski	2	Kleszczów	18-459	II	1680
200	Anna	ocon	Politechnika Królewska	5	Myszków	91-786	III	3019
201	Maria	Wolczynska	Uniwersytet Królewski	5	Strzelce Opolskie	60-596	I	1862
202	Piotr	Bros	Uniwersytet Królewski	3	Miko³ów	96-497	V	2849
203	Arkadiusz	Bracki	Uniwersytet Ekonomiczny	5	Kêdzierzyn-KoŸle	81-133	V	2665
204	Krzysztof	Checinski	Politechnika Królewska	5	Bydgoszcz	29-199	I	2484
205	Wiktor	Gorecki	Politechnika Królewska	4	Pyrzowice	49-345	II	3274
206	Malgorzata	Stojecka	Akademia Sztuk Piêknych	3	Bêdzin	69-501	I	2932
207	Karolina	Anuszewska	Politechnika Królewska	3	Wolbrom	46-174	I	1973
208	Janusz	Chmielowski	Uniwersytet Sportu i Turystyki	1	Rybnik	24-983	I	2349
209	Zofia	Bujak	Uniwersytet Rolniczy	3	Ogrodzieniec	82-082	II	2484
210	Marek	Lichwa	Politechnika Informatyczno-Elektroniczna	9	Hrebenne	37-873	V	2321
211	Bozena	Symanska	Uniwersytet Sportu i Turystyki	8	Zawiercie	58-922	III	873
212	Zofia	Cedrowska	Uniwersytet Królewski	2	Jêdrzejów	62-049	II	805
213	Beata	Kowalczyk	Politechnika Informatyczno-Elektroniczna	9	Bêdzin	69-501	V	2191
214	Bartlomiej	Stec	Uniwersytet Królewski	5	Bielsk Podlaski	96-087	I	1453
215	Katarzyna	Schmidt	Politechnika Informatyczno-Elektroniczna	2	Mys³owice	13-220	IV	2151
216	Stefania	Stolowska	Politechnika Królewska	5	Koœcian	26-594	II	2867
217	Adam	Rabka	Uniwersytet Królewski	2	Radom	43-586	I	510
218	Maciej	Mijak	Uniwersytet Rolniczy	3	Katowice	72-241	V	2408
219	Piotr	Swiezy	Uniwersytet Królewski	5	Mys³owice	13-220	II	558
220	Adrianna	Gorska	Politechnika Informatyczno-Elektroniczna	8	Che³m	37-997	IV	719
221	Beata	Mikolajczyk	Uniwersytet Muzyczny	5	Otmuchów	69-204	I	2862
222	Maciej	Buzek	Uniwersytet Królewski	2	KuŸnica Bia³ostocka	81-042	V	1311
223	Katarzyna	Sokolowska	Uniwersytet Królewski	6	Zakopane	00-995	III	2656
224	Jerzy	Kielski	Uniwersytet Królewski	5	¯ory	29-724	I	1258
225	Roman	Dusza	Politechnika Królewska	5	Chorzów	97-545	V	838
226	Agnieszka	Korandy	Uniwersytet Ekonomiczny	5	Tarnobrzeg	85-266	I	3222
227	Joanna	Dymna	Uniwersytet Sportu i Turystyki	3	Chorzów	97-545	I	2137
228	Urszula	Legnicka	Politechnika Informatyczno-Elektroniczna	4	Sopot	77-187	II	468
229	Krystyna	Sekocinska	Uniwersytet Królewski	9	Terespol	22-593	I	979
230	Aureliusz	Dabrowski 	Politechnika Informatyczno-Elektroniczna	2	Tarnobrzeg	85-266	II	2910
231	Jerzy	Bargiel	Politechnika Informatyczno-Elektroniczna	5	Rajcza	18-286	I	898
232	Tomasz	Broniarz	Politechnika Informatyczno-Elektroniczna	2	Sopot	77-187	III	1123
233	Lucyna	Sokolowska	Uniwersytet Królewski	2	Kêpice	66-251	I	2980
234	Luiza	Pawlak	Politechnika Królewska	2	¯ory	29-724	II	1904
235	Weronika	Stroka	Politechnika Królewska	5	Ruda Sl¹ska	12-684	II	2180
236	Walenty	Kaczor	Uniwersytet Sportu i Turystyki	3	Wis³a	99-436	II	520
237	Szymon	Figurski	Uniwersytet Królewski	3	Tworóg	62-560	II	1496
238	Jadwiga	Grobelny	Politechnika Królewska	9	¯ory	29-724	III	2635
239	Piotr	Nowicki	Politechnika Informatyczno-Elektroniczna	5	G³ucho³azy	30-136	IV	1121
240	Franciszek	Bebenek	Uniwersytet Królewski	3	Tworóg	62-560	I	2572
241	Anna	Trzebnicka	Akademia Sztuk Piêknych	2	Olkusz	19-255	I	1151
242	Adam	Witczak	Uniwersytet Królewski	5	Bêdzin	69-501	III	735
243	Natalia	Chlopecka	Politechnika Królewska	1	Piwniczna-Zdrój	09-592	I	2101
244	Jacek	Andrzejewski	Uniwersytet Królewski	5	Ruda Sl¹ska	12-684	III	2241
245	Agnieszka	Malbolrska	Politechnika Królewska	3	Chy¿ne	76-235	I	2814
246	Karolina	Rosiak	Uniwersytet Królewski	5	Gliwice	11-608	I	1417
247	Aneta	Klucha	Uniwersytet Królewski	3	D¹browa Górnicza	75-727	I	1165
248	Bartosz	Adamiec	Politechnika Królewska	5	Koniaków	34-607	I	2668
249	Piotr	Garncarz	Uniwersytet Królewski	5	Brzeg Dolny	14-287	III	863
250	Kamil	Dabrowski	Politechnika Informatyczno-Elektroniczna	3	Chorzów	97-545	I	749
251	Marek	Majchrowicz	Politechnika Królewska	5	Lubliniec	14-322	I	2405
252	Olgierd	Dudzinski	Uniwersytet Królewski	2	Poznañ	40-853	I	3136
253	Anna	Sawiciak	Uniwersytet Ekonomiczny	3	Wolbrom	46-174	I	2285
254	Paulina	Raszczyk	Uniwersytet Królewski	5	Dêblin	53-807	I	2678
255	Fryderyka	Slowik	Politechnika Informatyczno-Elektroniczna	4	Zgorzelec	79-972	IV	438
256	Mieszko	Cisna	Uniwersytet Królewski	5	Sosnowiec	14-721	II	3313
257	Janusz	Waz	Uniwersytet Ekonomiczny	2	Tarnobrzeg	85-266	I	2917
258	Wojciech	Bugaj	Politechnika Informatyczno-Elektroniczna	5	Ruda Sl¹ska	12-684	I	2657
259	Marcin	Slomczynski	Uniwersytet Królewski	4	Soœnicowice	15-658	II	1869
260	Franciszek	Laczynski	Uniwersytet Królewski	2	Wadowice	47-222	V	2881
261	Korneliusz	Adamecki	Wy¿sza Szko³a Techniczna	5	Sucha Beskidzka	98-902	III	1726
262	Wawrzyniec	Kozina	Politechnika Informatyczno-Elektroniczna	5	Gdañsk	83-271	I	2700
263	Pawel	Wojcicki	Uniwersytet Królewski	10	Rajcza	18-286	V	1981
264	Klemens	Radzik	Uniwersytet Królewski	2	Lublin	79-726	II	672
265	Karol	Mazurowski	Uniwersytet Królewski	5	Wojkowice	84-273	IV	719
266	Krzysztof	Antczak	Uniwersytet Ekonomiczny	5	Giera³towice	04-834	I	2472
267	Jerzy	Orowski	Politechnika Królewska	5	Wis³a	99-436	III	796
268	Alicja	Kobus	Politechnika Informatyczno-Elektroniczna	4	Rajcza	18-286	I	2409
269	Adam	Michalak	Uniwersytet Pedagogiczny	3	Soœnicowice	15-658	I	1259
270	Norbert	Boronski	Politechnika Informatyczno-Elektroniczna	2	Wadowice	47-222	I	1317
271	Seweryn	Wawa	Politechnika Informatyczno-Elektroniczna	7	Kostrzyn	22-864	IV	1309
272	Renata	Kaluza	Uniwersytet Rolniczy	2	KuŸnia Raciborska	78-122	II	2790
273	Ewa	Berak	Uniwersytet Królewski	2	Gorki Male	36-984	I	2110
274	Marcin	Bajdak	Politechnika Królewska	8	Tarnów	87-348	I	2485
275	Iwona	Wegier	Politechnika Informatyczno-Elektroniczna	5	Zawiercie	58-922	I	1344
276	Franciszek	Kusch	Uniwersytet Pedagogiczny	3	Dêblin	53-807	V	1802
277	Lukasz	Klos	Uniwersytet Królewski	2	Miko³ajki	83-977	III	2482
278	Karolina	Weiss	Politechnika Informatyczno-Elektroniczna	7	Legnica	58-930	I	871
279	Tadeusz	Regulski	Politechnika Informatyczno-Elektroniczna	5	Gryfice	51-783	I	1075
280	Beata	Jasinska	Uniwersytet Rolniczy	2	Siemianowice Sl¹skie	09-006	I	968
281	Aleksander	Ogonowski	Uniwersytet Rolniczy	2	Koniaków	34-607	I	1229
282	Eleonora	Kosa	Politechnika Informatyczno-Elektroniczna	8	Sanok	71-890	I	455
283	Adrian	Baka	Politechnika Informatyczno-Elektroniczna	8	Ruda Sl¹ska	12-684	I	3195
284	Czeslawa	Bochenek	Politechnika Królewska	2	Ogrodniki	14-095	I	1883
285	Tomasz	Leganowski	Politechnika Królewska	2	Bielsk Podlaski	96-087	IV	2018
286	Sebastian	Adalewski	Akademia Sztuk Piêknych	3	Chalupki	70-071	II	2821
287	Bronislawa	Chmielewska	Uniwersytet Rolniczy	3	G³ubczyce	65-458	IV	2931
288	Daria	Dyrbusz	Uniwersytet Królewski	1	Alwernia	27-938	I	1779
289	Olga	Gonerska	Uniwersytet Królewski	8	Lêdziny	27-535	I	1990
290	Radoslaw	Niedziela	Politechnika Królewska	5	Rabka	30-698	II	2283
291	Arkadiusz	Sokolowski	Politechnika Królewska	5	Bytom	80-339	I	1964
292	Zofia	Bylska	Akademia Sztuk Piêknych	3	Dzier¿oniów	87-324	II	1822
293	Slawomir	Rojek	Uniwersytet Królewski	3	P³ock	04-688	III	1093
294	Robert	Pilski	Politechnika Informatyczno-Elektroniczna	1	Ruda Sl¹ska	12-684	II	1756
295	Janina	Bernacik	Uniwersytet Ekonomiczny	5	Katowice	72-241	I	2356
296	Mateusz	Swierszczynski	Uniwersytet Rolniczy	2	Ustroñ	51-637	V	3080
297	Tomasz	Wan	Uniwersytet Królewski	4	Bochnia	89-362	II	1258
298	Alicja	Miskowiec	Politechnika Informatyczno-Elektroniczna	8	Koniaków	34-607	V	2730
299	Piotr	Piwnik	Politechnika Królewska	5	Katowice	72-241	I	1592
