Id_studenta;Imie;Nazwisko;Uczelnia;Miejsce_zam;Rok_studiow;Dochod_na_osobe
25;Tomasz;Tutaj;Politechnika Informatyczno-Elektroniczna;Bedzin;III;3079
26;Sylwester;Jarecki;Uniwersytet Muzyczny;Bedzin;I;3222
27;Antoni;Banakiewicz;Politechnika Krolewska;Bedzin;I;1003
28;Piotr;Skiba;Politechnika Krolewska;Bedzin;I;2917
29;Lidia;Kazdron;Politechnika Krolewska;Bedzin;II;2646
30;Karol;Krol;Uniwersytet Pedagogiczny;Bedzin;I;365
31;Beata;Kotlarska;Politechnika Krolewska;Bedzin;I;1638
32;Jan;Tyranowski;Uniwersytet Krolewski;Bedzin;I;3333
33;Celina;Koral;Politechnika Krolewska;Bedzin;V;1242
34;Jacek;Witebski;Uniwersytet Krolewski;Bedzin;I;1168
35;Karol;Kedzierski;Politechnika Krolewska;Bezledy;II;1374
36;Bartosz;Samek;Politechnika Informatyczno-Elektroniczna;Bezledy;I;543
37;Natalia;Goral;Politechnika Krolewska;Bezledy;II;1947
38;Janusz;Figielski;Uniwersytet Krolewski;Bezledy;II;2223
39;Henryk;Klosinski;Uniwersytet Muzyczny;Biala Podlaska;IV;1611
40;Krzysztof;Dyszy;Uniwersytet Ekonomiczny;Biala Podlaska;III;2898
41;Barbara;Szelest;Uniwersytet Krolewski;Biala Podlaska;III;1666
42;Monika;Chojecka;Uniwersytet Krolewski;Bialaszewo;I;2124
43;Elzbieta;Jandura;Uniwersytet Krolewski;Bialaszewo;I;1552
44;Roman;Aron;Uniwersytet Krolewski;Bialaszewo;I;997
45;Joanna;Lodziarz;Uniwersytet Krolewski;Bialystok;II;602
46;Martyna;Bobrowska;Politechnika Krolewska;Bialystok;I;1263
47;Dominik;Zagajewski;Politechnika Informatyczno-Elektroniczna;Bialystok;I;448
48;Marianna;Lyszkowska;Politechnika Krolewska;Bialystok;II;2334
49;Anna;Tabor;Politechnika Informatyczno-Elektroniczna;Bielsk Podlaski;I;1777
50;Marek;Frymarkiewicz;Politechnika Informatyczno-Elektroniczna;Bielsk Podlaski;I;1712
51;Gerard;Graczynski;Uniwersytet Pedagogiczny;Bielsk Podlaski;I;1573
52;Stefan;Skoczkowski;Uniwersytet Krolewski;Bielsko - Biala;V;2279
53;Gabriela;Kawka;Uniwersytet Sportu i Turystyki;Bielsko - Biala;II;2273
54;Klementyna;Bobkowicz;Uniwersytet Krolewski;Bielsko - Biala;I;3056
55;Artur;Bartoszewicz;Uniwersytet Sportu i Turystyki;Bielsko - Biala;IV;2177
56;Michal;Grzesiak;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;I;2239
57;Ewelina;Korpet;Uniwersytet Krolewski;Bielsko - Biala;II;2204
58;Radomila;Bojka;Uniwersytet Sportu i Turystyki;Bielsko - Biala;I;1403
59;Maciej;Drozdzik;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;II;1142
60;Jerzy;Przybylski;Uniwersytet Sportu i Turystyki;Bielsko - Biala;I;979
61;Hanna;Baron;Politechnika Krolewska;Bielsko - Biala;I;2509
62;Teresa;Bajerska;Uniwersytet Sportu i Turystyki;Bielsko - Biala;II;3010
63;Danuta;Bednar;Politechnika Krolewska;Bielsko - Biala;I;1933
64;Boguslawa;Keta;Politechnika Krolewska;Bielsko - Biala;II;3013
65;Beata;Grabowska;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;IV;2838
66;Stefania;Zakrzewska;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;I;420
67;Anna;Barcikowska;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;I;3099
68;Tadeusz;Holski;Politechnika Krolewska;Bielsko - Biala;II;1945
69;Aleksandra;Drabicka;Uniwersytet Krolewski;Bielsko - Biala;I;2163
70;Igor;Krynicki;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;I;1248
71;Boleslaw;Ludziejewski;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;I;2979
72;Danuta;Wojciechowska;Uniwersytet Krolewski;Bielsko - Biala;V;1298
73;Katarzyna;Kausek;Uniwersytet Pedagogiczny;Bielsko - Biala;IV;847
74;Maria;Swoboda;Politechnika Krolewska;Bielsko - Biala;II;1032
75;Witold;Basik;Politechnika Informatyczno-Elektroniczna;Bochnia;II;2428
76;Brygida;Mika;Politechnika Krolewska;Bochnia;II;562
77;Mariola;Barszczon;Uniwersytet Pedagogiczny;Bochnia;I;2664
78;Karina;Wozniak;Politechnika Informatyczno-Elektroniczna;Bochnia;V;2485
79;Michal;Kostrzewa;Politechnika Informatyczno-Elektroniczna;Bochnia;I;2267
80;Artur;Duszczyk;Politechnika Informatyczno-Elektroniczna;Bochnia;III;715
81;Nikodem;Nowicki;Uniwersytet Sportu i Turystyki;Bochnia;I;1703
82;Jadwiga;Borek;Uniwersytet Krolewski;Bozewo;II;1634
83;Jaroslaw;Firek;Uniwersytet Rolniczy;Bozewo;IV;2697
84;Grzegorz;Podsiadly;Uniwersytet Sportu i Turystyki;Bozewo;IV;1454
85;Wawrzyniec;Kalinowski;Uniwersytet Krolewski;Bransk;IV;875
86;Boleslaw;Drozdz;Uniwersytet Krolewski;Bransk;IV;1233
87;Korneliusz;Gajos;Politechnika Krolewska;Bransk;I;1517
88;Agnieszka;Muszynska;Uniwersytet Krolewski;Bransk;I;795
89;Alicja;Bankowska;Uniwersytet Krolewski;Brzeg Dolny;IV;2913
90;Barbara;Boronowska;Akademia Sztuk Pieknych;Brzeg Dolny;III;874
91;Ireneusz;Pazdziernik;Politechnika Krolewska;Brzesko;I;2759
92;Maciej;Golec;Politechnika Informatyczno-Elektroniczna;Brzesko;I;1906
93;Maciej;Slomczynski;Uniwersytet Krolewski;Brzesko;V;710
94;Tymon;Czarna;Politechnika Krolewska;Brzesko;V;1051
95;Janina;Lina;Politechnika Informatyczno-Elektroniczna;Brzesko;IV;2968
96;Kaja;Kalwas;Uniwersytet Krolewski;Brzesko;I;1600
97;Anna;Pulka;Uniwersytet Krolewski;Bydgoszcz;I;1600
98;Waclawa;Kasperek;Politechnika Informatyczno-Elektroniczna;Bydgoszcz;V;2710
99;Cezary;Karpowicz;Politechnika Informatyczno-Elektroniczna;Bydgoszcz;I;2993
100;Malgorzata;Balcerzak;Politechnika Informatyczno-Elektroniczna;Bytom;I;748
101;Kacper;Wosik;Politechnika Informatyczno-Elektroniczna;Bytom;I;2343
102;Stefan;Biegajski;Politechnika Informatyczno-Elektroniczna;Bytom;II;1837
103;Tomasz;Jasak;Uniwersytet Krolewski;Bytom;I;923
104;Witold;Barylkiewicz;Uniwersytet Ekonomiczny;Bytom;III;632
105;Michal;Bilski;Politechnika Informatyczno-Elektroniczna;Bytom;III;2807
106;Kazimierz;Sycowski;Uniwersytet Rolniczy;Bytom;I;2331
107;Marcin;Bacz;Uniwersytet Pedagogiczny;Bytom;II;2973
108;Jolanta;Czubacka;Politechnika Informatyczno-Elektroniczna;Bytom;III;2385
109;Andrzej;Jurkowski;Politechnika Informatyczno-Elektroniczna;Bytom;I;1487
110;Ireneusz;Alotek;Politechnika Informatyczno-Elektroniczna;Bytom;I;3140
111;Janusz;Judycki;Uniwersytet Ekonomiczny;Bytom;II;1361
112;Grazyna;Pawlowska;Politechnika Krolewska;Chalupki;II;2799
113;Adam;Sliz;Politechnika Krolewska;Chalupki;I;1077
114;Damian;Bawicz;Politechnika Krolewska;Chalupki;III;1161
115;Bronislawa;Wegrzyn;Politechnika Krolewska;Chalupki;II;2404
116;Jaromir;Gonczyk;Politechnika Informatyczno-Elektroniczna;Chalupki;I;2523
117;Amadeusz;Toborek;Politechnika Krolewska;Chalupki;III;2469
118;Jakub;Socha;Uniwersytet Rolniczy;Chelm;IV;2025
119;Katarzyna;Dwornik;Politechnika Informatyczno-Elektroniczna;Chelm;V;2745
120;Celina;Wisniewska;Politechnika Informatyczno-Elektroniczna;Chelm;I;822
121;Konstancja;Raszyn;Politechnika Informatyczno-Elektroniczna;Chelm;I;2946
122;Edyta;Tomczyk;Uniwersytet Krolewski;Chelm;III;2384
123;Jerzy;Semeniuk;Politechnika Krolewska;Chelm;II;1482
124;Helena;Maczynska;Uniwersytet Krolewski;Chelm;IV;2171
125;Jaroslaw;Bajda;Politechnika Informatyczno-Elektroniczna;Chorzow;V;1182
126;Klemens;Rokosz;Politechnika Krolewska;Chorzow;I;667
127;Jakub;Wtorek;Politechnika Krolewska;Chorzow;I;3263
128;Adrianna;Brzezinska;Politechnika Krolewska;Chorzow;V;2913
129;Karol;Binski;Politechnika Krolewska;Chorzow;I;2497
130;Iwona;Nyska;Uniwersytet Krolewski;Chorzow;I;2169
131;Cecylia;Czylok;Uniwersytet Krolewski;Chorzow;I;828
132;Mateusz;Antoniak;Politechnika Krolewska;Chorzow;V;2699
133;Adam;Kaleta;Uniwersytet Krolewski;Chorzow;I;1446
134;Michal;Salacinski;Politechnika Informatyczno-Elektroniczna;Chorzow;I;1608
135;Krzysztof;Krzesinski;Uniwersytet Rolniczy;Chorzow;I;2586
136;Zofia;Gorajska;Politechnika Krolewska;Chorzow;IV;2428
137;Janusz;Aleksandrowicz;Politechnika Informatyczno-Elektroniczna;Chorzow;I;2701
138;Danuta;Zasada;Politechnika Informatyczno-Elektroniczna;Chorzow;V;525
139;Aleksander;Rutkowski;Politechnika Informatyczno-Elektroniczna;Chorzow;I;560
140;Karina;Mikolajczak;Politechnika Informatyczno-Elektroniczna;Chorzow;I;642
141;Aleksy;Pobereznik;Politechnika Informatyczno-Elektroniczna;Chorzow;V;3152
142;Beata;Domnicz;Politechnika Krolewska;Chorzow;I;3177
143;Juliusz;Blazowski;Politechnika Informatyczno-Elektroniczna;Chyzne;II;3144
144;Kacper;Stachowicz;Uniwersytet Krolewski;Chyzne;I;775
145;Paulina;Lewinska;Uniwersytet Krolewski;Chyzne;I;714
146;Krzysztof;Wroblewski;Politechnika Informatyczno-Elektroniczna;Chyzne;I;919
147;Jan;Bieniek;Uniwersytet Krolewski;Chyzne;III;805
148;Magdalena;Wawrzyn;Politechnika Informatyczno-Elektroniczna;Ciechanow;I;1189
149;Marek;Bakucha;Akademia Sztuk Pieknych;Ciechanow;I;3313
150;Teofil;Chudy;Politechnika Informatyczno-Elektroniczna;Ciechanow;I;2530
151;Krzysztof;Rosiewicz;Politechnika Krolewska;Ciechanow;I;680
152;Mikolaj;Jozwiak;Politechnika Krolewska;Ciechanow;I;1880
153;Olga;Berus;Politechnika Informatyczno-Elektroniczna;Ciechocinek;I;2791
154;Halina;Haczyk;Uniwersytet Krolewski;Ciechocinek;II;3243
155;Sebastian;Lewandowski;Uniwersytet Ekonomiczny;Ciechocinek;I;1434
156;Barbara;Kotwicka;Uniwersytet Krolewski;Ciechocinek;III;2308
157;Jerzy;Bolkowicz;Politechnika Krolewska;Cieszyn;I;2451
158;Michal;Wojciechowski;Politechnika Informatyczno-Elektroniczna;Cieszyn;IV;2423
159;Inga;Barskacz;Politechnika Informatyczno-Elektroniczna;Cieszyn;I;2848
160;Jerzy;Lubec;Politechnika Informatyczno-Elektroniczna;Cieszyn;I;1599
161;Malgorzata;Szulim;Politechnika Informatyczno-Elektroniczna;Cieszyn;I;1899
162;Marcin;Hebda;Politechnika Informatyczno-Elektroniczna;Cieszyn;V;2725
163;Andrzej;Wieczorek;Politechnika Krolewska;Cieszyn;III;2555
164;Jan;Babul;Uniwersytet Krolewski;Cieszyn;II;2720
165;Kinga;Myszograj;Politechnika Krolewska;Cieszyn;II;2155
166;Grazyna;Chrust;Politechnika Informatyczno-Elektroniczna;Cieszyn;V;792
167;Dorota;Pietrowicz;Politechnika Informatyczno-Elektroniczna;Czestochowa;I;1071
168;Hanna;Wrona;Politechnika Informatyczno-Elektroniczna;Czestochowa;I;1493
169;Janusz;Wysocki;Uniwersytet Rolniczy;Czestochowa;I;1191
170;Adam;Baryla;Politechnika Krolewska;Czestochowa;III;1347
171;Szymon;Duda;Uniwersytet Krolewski;Czestochowa;I;1160
172;Anna;Bialowas;Uniwersytet Pedagogiczny;Czestochowa;III;1544
173;Grzegorz;Szlachcic;Politechnika Krolewska;Czestochowa;I;2675
174;Kuba;Hauser;Politechnika Informatyczno-Elektroniczna;Czestochowa;III;2481
175;Dariusz;Adamus;Politechnika Informatyczno-Elektroniczna;Czestochowa;I;813
176;Franciszek;Bielanski;Politechnika Krolewska;Czestochowa;I;3125
177;Adam;Konopka;Uniwersytet Krolewski;Dabrowa Gornicza;I;1489
178;Monika;Lawrynowicz;Uniwersytet Krolewski;Dabrowa Gornicza;I;2835
179;Kacper;Fastnacht;Politechnika Informatyczno-Elektroniczna;Dabrowa Gornicza;II;998
180;Roman;Persinski;Politechnika Informatyczno-Elektroniczna;Dabrowa Gornicza;I;1431
181;Piotr;Kuter;Uniwersytet Krolewski;Dabrowa Gornicza;I;738
182;Wojciech;Kujdowicz;Uniwersytet Krolewski;Dabrowa Gornicza;I;2637
183;Angelika;Merak;Politechnika Krolewska;Dabrowa Gornicza;III;415
184;Anna;Owsianka;Politechnika Informatyczno-Elektroniczna;Dabrowa Gornicza;II;429
185;Walery;Szurkowski;Uniwersytet Pedagogiczny;Dabrowa Gornicza;II;352
186;Karol;Kopycki;Uniwersytet Krolewski;Dabrowa Gornicza;I;794
187;Franciszek;Szombierski;Akademia Sztuk Pieknych;Daszyna;I;698
188;Ewelia;Michaliska;Politechnika Informatyczno-Elektroniczna;Debica;II;2309
189;Kacper;Slawinski;Uniwersytet Rolniczy;Debica;I;1901
190;Ewelina;Hassan;Uniwersytet Krolewski;Debica;V;2767
191;Arkadiusz;Godowski;Uniwersytet Krolewski;Debica;I;1845
192;Tymon;Czarnecki;Politechnika Krolewska;Deblin;II;2025
193;Alina;Batorek;Uniwersytet Rolniczy;Deblin;I;1309
194;Michal;Prazuch;Politechnika Informatyczno-Elektroniczna;Deblin;V;2534
195;Czeslaw;Kos;Uniwersytet Sportu i Turystyki;Deblin;I;1980
196;Jan;Sikorski;Politechnika Informatyczno-Elektroniczna;Deblin;V;2217
197;Teresa;Polaska;Politechnika Informatyczno-Elektroniczna;Deblin;I;2771
198;Damian;Kulesza;Uniwersytet Krolewski;Deblin;III;2883
199;Robert;Chochol;Uniwersytet Krolewski;Deblin;II;1680
200;Anna;ocon;Politechnika Krolewska;Deblin;I;3019
201;Maria;Wolczynska;Uniwersytet Krolewski;Debowiec;I;1862
202;Piotr;Bros;Uniwersytet Krolewski;Debowiec;II;2849
203;Arkadiusz;Bracki;Uniwersytet Ekonomiczny;Debowiec;I;2665
204;Krzysztof;Checinski;Politechnika Krolewska;Debowiec;V;2484
205;Wiktor;Gorecki;Politechnika Krolewska;Debrzno;I;3274
206;Malgorzata;Stojecka;Akademia Sztuk Pieknych;Debrzno;I;2932
207;Karolina;Anuszewska;Politechnika Krolewska;Debrzno;IV;1973
208;Janusz;Chmielowski;Uniwersytet Sportu i Turystyki;Dlugopole-Zdroj;I;2349
209;Zofia;Bujak;Uniwersytet Rolniczy;Dlugopole-Zdroj;II;2484
210;Marek;Lichwa;Politechnika Informatyczno-Elektroniczna;Dlugopole-Zdroj;II;2321
211;Bozena;Symanska;Uniwersytet Sportu i Turystyki;Dlugopole-Zdroj;I;873
212;Zofia;Cedrowska;Uniwersytet Krolewski;Dobieszowice;II;805
213;Beata;Kowalczyk;Politechnika Informatyczno-Elektroniczna;Dobieszowice;I;2191
214;Bartlomiej;Stec;Uniwersytet Krolewski;Dobre Miasto;I;1453
215;Katarzyna;Schmidt;Politechnika Informatyczno-Elektroniczna;Dobre Miasto;I;2151
216;Stefania;Stolowska;Politechnika Krolewska;Dobre Miasto;I;2867
217;Adam;Rabka;Uniwersytet Krolewski;Dobre Miasto;I;510
218;Maciej;Mijak;Uniwersytet Rolniczy;Dobre Miasto;III;2408
219;Piotr;Swiezy;Uniwersytet Krolewski;Dzierzoniow;V;558
220;Adrianna;Gorska;Politechnika Informatyczno-Elektroniczna;Dzierzoniow;II;719
221;Beata;Mikolajczyk;Uniwersytet Muzyczny;Elblag;IV;2862
222;Maciej;Buzek;Uniwersytet Krolewski;Elblag;I;1311
223;Katarzyna;Sokolowska;Uniwersytet Krolewski;Elblag;I;2656
224;Jerzy;Kielski;Uniwersytet Krolewski;Elk;III;1258
225;Roman;Dusza;Politechnika Krolewska;Elk;V;838
226;Agnieszka;Korandy;Uniwersytet Ekonomiczny;Elk;I;3222
227;Joanna;Dymna;Uniwersytet Sportu i Turystyki;Elk;I;2137
228;Urszula;Legnicka;Politechnika Informatyczno-Elektroniczna;Elk;I;468
229;Krystyna;Sekocinska;Uniwersytet Krolewski;Gdansk;I;979
230;Aureliusz;Dabrowski ;Politechnika Informatyczno-Elektroniczna;Gdansk;IV;2910
231;Jerzy;Bargiel;Politechnika Informatyczno-Elektroniczna;Gdansk;III;898
232;Tomasz;Broniarz;Politechnika Informatyczno-Elektroniczna;Gdansk;I;1123
233;Lucyna;Sokolowska;Uniwersytet Krolewski;Gdynia;I;2980
234;Luiza;Pawlak;Politechnika Krolewska;Gdynia;II;1904
235;Weronika;Stroka;Politechnika Krolewska;Gieblo;IV;2180
236;Walenty;Kaczor;Uniwersytet Sportu i Turystyki;Gieblo;IV;520
237;Szymon;Figurski;Uniwersytet Krolewski;Gieblo;I;1496
238;Jadwiga;Grobelny;Politechnika Krolewska;Gieraltowice;V;2635
239;Piotr;Nowicki;Politechnika Informatyczno-Elektroniczna;Gieraltowice;I;1121
240;Franciszek;Bebenek;Uniwersytet Krolewski;Gieraltowice;I;2572
241;Anna;Trzebnicka;Akademia Sztuk Pieknych;Gieraltowice;IV;1151
242;Adam;Witczak;Uniwersytet Krolewski;Gieraltowice;II;735
243;Natalia;Chlopecka;Politechnika Krolewska;Gieraltowice;I;2101
244;Jacek;Andrzejewski;Uniwersytet Krolewski;Gieraltowice;III;2241
245;Agnieszka;Malbolrska;Politechnika Krolewska;Gieraltowice;I;2814
246;Karolina;Rosiak;Uniwersytet Krolewski;Gieraltowice;I;1417
247;Aneta;Klucha;Uniwersytet Krolewski;Gieraltowice;I;1165
248;Bartosz;Adamiec;Politechnika Krolewska;Gliwice;II;2668
249;Piotr;Garncarz;Uniwersytet Krolewski;Gliwice;I;863
250;Kamil;Dabrowski;Politechnika Informatyczno-Elektroniczna;Gliwice;V;749
251;Marek;Majchrowicz;Politechnika Krolewska;Gliwice;I;2405
252;Olgierd;Dudzinski;Uniwersytet Krolewski;Gliwice;I;3136
253;Anna;Sawiciak;Uniwersytet Ekonomiczny;Gliwice;I;2285
254;Paulina;Raszczyk;Uniwersytet Krolewski;Gliwice;II;2678
255;Fryderyka;Slowik;Politechnika Informatyczno-Elektroniczna;Gliwice;I;438
256;Mieszko;Cisna;Uniwersytet Krolewski;Gliwice;I;3313
257;Janusz;Waz;Uniwersytet Ekonomiczny;Gliwice;IV;2917
258;Wojciech;Bugaj;Politechnika Informatyczno-Elektroniczna;Gliwice;I;2657
259;Marcin;Slomczynski;Uniwersytet Krolewski;Gliwice;III;1869
260;Franciszek;Laczynski;Uniwersytet Krolewski;Gliwice;I;2881
261;Korneliusz;Adamecki;Wyzsza Szko�a Techniczna;Gliwice;I;1726
262;Wawrzyniec;Kozina;Politechnika Informatyczno-Elektroniczna;Gliwice;I;2700
263;Pawel;Wojcicki;Uniwersytet Krolewski;Gliwice;II;1981
264;Klemens;Radzik;Uniwersytet Krolewski;Gliwice;I;672
265;Karol;Mazurowski;Uniwersytet Krolewski;Glubczyce;IV;719
266;Krzysztof;Antczak;Uniwersytet Ekonomiczny;Glubczyce;V;2472
267;Jerzy;Orowski;Politechnika Krolewska;Glubczyce;I;796
268;Alicja;Kobus;Politechnika Informatyczno-Elektroniczna;Glubczyce;I;2409
269;Adam;Michalak;Uniwersytet Pedagogiczny;Glubczyce;IV;1259
270;Norbert;Boronski;Politechnika Informatyczno-Elektroniczna;Glubczyce;I;1317
271;Seweryn;Wawa;Politechnika Informatyczno-Elektroniczna;Glucholazy;II;1309
272;Renata;Kaluza;Uniwersytet Rolniczy;Glucholazy;IV;2790
273;Ewa;Berak;Uniwersytet Krolewski;Glucholazy;II;2110
274;Marcin;Bajdak;Politechnika Krolewska;Glucholazy;I;2485
275;Iwona;Wegier;Politechnika Informatyczno-Elektroniczna;Glucholazy;V;1344
276;Franciszek;Kusch;Uniwersytet Pedagogiczny;Glucholazy;I;1802
277;Lukasz;Klos;Uniwersytet Krolewski;Glucholazy;I;2482
278;Karolina;Weiss;Politechnika Informatyczno-Elektroniczna;Glucholazy;II;871
279;Tadeusz;Regulski;Politechnika Informatyczno-Elektroniczna;Glucholazy;II;1075
280;Beata;Jasinska;Uniwersytet Rolniczy;Gorki Male;II;968
281;Aleksander;Ogonowski;Uniwersytet Rolniczy;Gorki Male;I;1229
282;Eleonora;Kosa;Politechnika Informatyczno-Elektroniczna;Gorki Male;II;455
283;Adrian;Baka;Politechnika Informatyczno-Elektroniczna;Gorki Male;I;3195
284;Czeslawa;Bochenek;Politechnika Krolewska;Gorki Male;I;1883
285;Tomasz;Leganowski;Politechnika Krolewska;Gorzow Wielkopolski;I;2018
286;Sebastian;Adalewski;Akademia Sztuk Pieknych;Gorzow Wielkopolski;III;2821
287;Bronislawa;Chmielewska;Uniwersytet Rolniczy;Gorzow Wielkopolski;I;2931
288;Daria;Dyrbusz;Uniwersytet Krolewski;Gorzow Wielkopolski;I;1779
289;Olga;Gonerska;Uniwersytet Krolewski;Gostyn;I;1990
290;Radoslaw;Niedziela;Politechnika Krolewska;Gostyn;III;2283
291;Arkadiusz;Sokolowski;Politechnika Krolewska;Gostyn;I;1964
292;Zofia;Bylska;Akademia Sztuk Pieknych;Gostyn;III;1822
293;Slawomir;Rojek;Uniwersytet Krolewski;Grudziadz;II;1093
294;Robert;Pilski;Politechnika Informatyczno-Elektroniczna;Grudziadz;II;1756
295;Janina;Bernacik;Uniwersytet Ekonomiczny;Grudziadz;I;2356
296;Mateusz;Swierszczynski;Uniwersytet Rolniczy;Grudziadz;II;3080
297;Tomasz;Wan;Uniwersytet Krolewski;Gryfice;I;1258
298;Alicja;Miskowiec;Politechnika Informatyczno-Elektroniczna;Gryfice;II;2730
299;Piotr;Piwnik;Politechnika Krolewska;Gryfice;V;1592
300;Jan;Bator;Politechnika Krolewska;Gryfice;II;2738
301;Eleonora;Mrowka;Politechnika Informatyczno-Elektroniczna;Gryfice;I;2064
302;Andrzej;Beki;Politechnika Krolewska;Gubin;I;465
303;Boleslawa;Kucharska;Uniwersytet Krolewski;Gubin;III;1291
304;Wojciech;Fujarewicz;Politechnika Informatyczno-Elektroniczna;Gubin;I;2125
305;Iwona;Grzybek;Politechnika Krolewska;Halinow;II;787
306;Maria;Zwojec;Uniwersytet Krolewski;Halinow;V;2155
307;Mateusz;Kandora;Uniwersytet Krolewski;Halinow;I;3218
308;Daniel;Barszcz;Uniwersytet Krolewski;Hrebenne;V;2273
309;Teresa;Grudzinska;Uniwersytet Krolewski;Hrebenne;II;1283
310;Franciszka;Nowicka;Uniwersytet Krolewski;Hrebenne;I;1863
311;Karolina;Bajerowicz;Uniwersytet Krolewski;Ilawa;III;1965
312;Barbara;Wszedobyl;Uniwersytet Pedagogiczny;Ilawa;III;1182
313;Izolda;Jaros;Politechnika Informatyczno-Elektroniczna;Inowroclaw;I;2207
314;Grazyna;Gorska;Politechnika Krolewska;Istebna;I;1453
315;Piotr;Kacprzak;Uniwersytet Krolewski;Istebna;IV;983
316;Grzegorz;Balon;Politechnika Informatyczno-Elektroniczna;Istebna;II;917
317;Zdzislawa;Modrzewska;Politechnika Krolewska;Istebna;III;2124
318;Aleksander;Biborski;Politechnika Informatyczno-Elektroniczna;Istebna;II;3254
319;Dominik;Felinski;Politechnika Informatyczno-Elektroniczna;Istebna;I;2842
320;Arkadiusz;Maciejewski;Politechnika Informatyczno-Elektroniczna;Istebna;I;1879
321;Milosz;Ostrowski;Uniwersytet Krolewski;Istebna;I;978
322;Marzena;Skrzypek;Uniwersytet Sportu i Turystyki;Izbica Kujawska;I;2409
323;Tomasz;Krawczyk;Politechnika Informatyczno-Elektroniczna;Izbica Kujawska;III;1655
324;Andrzej;Knot;Uniwersytet Pedagogiczny;Jakuszyce;I;356
325;Mateusz;Buczek;Politechnika Krolewska;Jaslo;I;2275
326;Piotr;Tyborowski;Uniwersytet Krolewski;Jaslo;IV;2325
327;Klaudia;Kotowicz;Politechnika Informatyczno-Elektroniczna;Jaslo;I;1950
328;Mateusz;Bartoszewski;Politechnika Informatyczno-Elektroniczna;Jaslo;II;2149
329;Michal;Antkowicz;Uniwersytet Krolewski;Jaslo;IV;2265
330;Barbara;Bakan;Politechnika Informatyczno-Elektroniczna;Jaslo;I;1218
331;Grzegorz;Styczen;Politechnika Krolewska;Jaslo;I;931
332;Agata;Babulak;Politechnika Krolewska;Jaslo;IV;2170
333;Ewelina;Kocharyan;Politechnika Informatyczno-Elektroniczna;Jaslo;I;1118
334;Barbara;Solska;Uniwersytet Sportu i Turystyki;Jaslo;I;678
335;Dominik;Kondratowicz;Uniwersytet Krolewski;Jaslo;V;2209
336;Kacper;Wozniak;Uniwersytet Pedagogiczny;Jaslo;I;1897
337;Jagna;Meller;Politechnika Informatyczno-Elektroniczna;Jastrzebie-Zdroj;I;3247
338;Gabriela;Mroz;Uniwersytet Krolewski;Jastrzebie-Zdroj;I;1033
339;Mateusz;Bernacki;Uniwersytet Krolewski;Jastrzebie-Zdroj;IV;846
340;Anna;Cender;Uniwersytet Pedagogiczny;Jastrzebie-Zdroj;I;2190
341;Ewa;Seweryn;Uniwersytet Krolewski;Jastrzebie-Zdroj;I;1206
342;Roza;Biernaczyk;Politechnika Krolewska;Jastrzebie-Zdroj;I;378
343;Andrzej;Pyza;Politechnika Krolewska;Jastrzebie-Zdroj;IV;788
